pos_0,pos_1,pos_2,pos_3,avg_guesses
0,0,0,0,3.00
0,0,0,1,3.00
0,0,0,2,4.00
0,0,1,0,3.00
0,0,1,1,4.00
0,0,1,2,3.00
0,0,2,0,4.00
0,0,2,1,3.00
0,0,2,2,4.00
0,1,0,0,3.00
0,1,0,1,2.00
0,1,0,2,2.00
0,1,1,0,3.00
0,1,1,1,3.00
0,1,1,2,3.00
0,1,2,0,2.00
0,1,2,1,4.00
0,1,2,2,4.00
0,2,0,0,3.00
0,2,0,1,3.00
0,2,0,2,4.00
0,2,1,0,3.00
0,2,1,1,4.00
0,2,1,2,4.00
0,2,2,0,2.00
0,2,2,1,2.00
0,2,2,2,3.00
1,0,0,0,2.00
1,0,0,1,2.00
1,0,0,2,2.00
1,0,1,0,1.00
1,0,1,1,3.00
1,0,1,2,4.00
1,0,2,0,3.00
1,0,2,1,3.00
1,0,2,2,4.00
1,1,0,0,3.00
1,1,0,1,3.00
1,1,0,2,4.00
1,1,1,0,4.00
1,1,1,1,4.00
1,1,1,2,4.00
1,1,2,0,4.00
1,1,2,1,3.00
1,1,2,2,3.00
1,2,0,0,4.00
1,2,0,1,3.00
1,2,0,2,4.00
1,2,1,0,4.00
1,2,1,1,3.00
1,2,1,2,3.00
1,2,2,0,2.00
1,2,2,1,3.00
1,2,2,2,3.00
2,0,0,0,3.00
2,0,0,1,3.00
2,0,0,2,3.00
2,0,1,0,3.00
2,0,1,1,3.00
2,0,1,2,3.00
2,0,2,0,4.00
2,0,2,1,3.00
2,0,2,2,4.00
2,1,0,0,4.00
2,1,0,1,3.00
2,1,0,2,3.00
2,1,1,0,3.00
2,1,1,1,3.00
2,1,1,2,3.00
2,1,2,0,3.00
2,1,2,1,3.00
2,1,2,2,3.00
2,2,0,0,3.00
2,2,0,1,3.00
2,2,0,2,4.00
2,2,1,0,3.00
2,2,1,1,4.00
2,2,1,2,2.00
2,2,2,0,3.00
2,2,2,1,2.00
2,2,2,2,2.00
